,year,agency_code,county,career_cluster,num_concentrators
0,2017,10303,Alamance,AGNR,1
1,2017,10303,Alamance,ARCH,1
2,2017,10303,Alamance,BMA,1
3,2017,10303,Alamance,INFO,1
4,2017,10303,Alamance,LAW,1
5,2017,10303,Alamance,TRAN,1
6,2017,10324,Alamance,AAVC,22
7,2017,10324,Alamance,AGNR,26
8,2017,10324,Alamance,ARCH,32
9,2017,10324,Alamance,BMA,2
10,2017,10324,Alamance,FINA,4
11,2017,10324,Alamance,HLTH,5
12,2017,10324,Alamance,HOSP,87
13,2017,10324,Alamance,HUMA,1
14,2017,10324,Alamance,INFO,74
15,2017,10324,Alamance,MANU,4
16,2017,10324,Alamance,STEM,11
17,2017,10324,Alamance,TRAN,10
18,2017,10348,Alamance,AAVC,8
19,2017,10348,Alamance,AGNR,10
20,2017,10348,Alamance,ARCH,82
21,2017,10348,Alamance,BMA,3
22,2017,10348,Alamance,FINA,2
23,2017,10348,Alamance,HLTH,8
24,2017,10348,Alamance,HOSP,12
25,2017,10348,Alamance,INFO,5
26,2017,10348,Alamance,LAW,1
27,2017,10348,Alamance,MANU,3
28,2017,10348,Alamance,TRAN,83
29,2017,10360,Alamance,AAVC,6
30,2017,10360,Alamance,AGNR,28
31,2017,10360,Alamance,ARCH,7
32,2017,10360,Alamance,BMA,23
33,2017,10360,Alamance,FINA,14
34,2017,10360,Alamance,HLTH,19
35,2017,10360,Alamance,HOSP,50
36,2017,10360,Alamance,INFO,5
37,2017,10360,Alamance,MANU,9
38,2017,10360,Alamance,MRKT,6
39,2017,10360,Alamance,STEM,10
40,2017,10360,Alamance,TRAN,5
41,2017,10388,Alamance,AAVC,21
42,2017,10388,Alamance,AGNR,136
43,2017,10388,Alamance,ARCH,47
44,2017,10388,Alamance,BMA,2
45,2017,10388,Alamance,FINA,1
46,2017,10388,Alamance,HLTH,27
47,2017,10388,Alamance,HOSP,22
48,2017,10388,Alamance,HUMA,2
49,2017,10388,Alamance,INFO,23
50,2017,10388,Alamance,LAW,15
51,2017,10388,Alamance,STEM,4
52,2017,10388,Alamance,TRAN,6
53,2017,10396,Alamance,AAVC,213
54,2017,10396,Alamance,AGNR,174
