District Name,School Code,School Name,State Board Region,Grade Span
Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010311,Career and Technical Education Center,Piedmont-Triad,09-12
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,06-12
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010388,Southern Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010390,Southern Alamance Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010403,Western Alamance Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010450,Alamance Virtual School,Piedmont-Triad,0K-12
Alexander County Schools,020302,Alexander Central High,Northwest,09-12
Alexander County Schools,020303,Alexander Early College,Northwest,09-12
Alexander County Schools,020304,Bethlehem Elementary,Northwest,PK-05
Alexander County Schools,020306,East Alexander Middle,Northwest,06-08
Alexander County Schools,020308,Ellendale Elementary,Northwest,0K-05
Alexander County Schools,020310,Alexander Virtual Academy,Northwest,04-08
Alexander County Schools,020316,Hiddenite Elementary,Northwest,PK-05
Alexander County Schools,020320,Stony Point Elementary,Northwest,PK-05
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,0K-05
Alexander County Schools,020328,Taylorsville Elementary,Northwest,PK-05
Alexander County Schools,020330,West Alexander Middle,Northwest,06-08
Alexander County Schools,020332,Wittenburg Elementary,Northwest,PK-05
Alleghany County Schools,030304,Alleghany High,Northwest,09-12
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,PK-08
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,PK-08
Alleghany County Schools,030320,Sparta Elementary,Northwest,PK-08
Anson County Schools,040304,Anson Co. Early College High,Southwest,09-13
Anson County Schools,040306,Anson High School,Southwest,09-12
Anson County Schools,040308,Ansonville Elementary,Southwest,0K-05
Anson County Schools,040309,Anson Middle,Southwest,06-08
Anson County Schools,040311,Wadesboro Primary,Southwest,0K-03
Anson County Schools,040316,Lilesville Elementary,Southwest,0K-05
Anson County Schools,040324,Morven Elementary,Southwest,0K-05
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,0K-05
Anson County Schools,040330,Wadesboro Elementary,Southwest,04-05
Ashe County Schools,050302,Ashe County High,Northwest,09-12
Ashe County Schools,050303,Ashe County Early College High,Northwest,09-13
Ashe County Schools,050305,Ashe County Middle,Northwest,07-08
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,0K-06
Ashe County Schools,050330,Mountain View Elementary,Northwest,PK-06
Ashe County Schools,050335,Westwood Elementary,Northwest,0K-06
Avery County Schools,060302,Avery County High,Northwest,09-12
Avery County Schools,060304,Banner Elk Elementary,Northwest,PK-05
Avery County Schools,060310,Cranberry Middle,Northwest,06-08
Avery County Schools,060316,Crossnore Elementary,Northwest,PK-05
Avery County Schools,060318,Avery Middle,Northwest,06-08
Avery County Schools,060322,Freedom Trail Elementary,Northwest,PK-05
Avery County Schools,060328,Newland Elementary,Northwest,PK-05
Avery County Schools,060332,Riverside Elementary,Northwest,PK-05
Beaufort County Schools,070302,Eastern Elementary,Northeast,PK-01
Beaufort County Schools,070308,Bath Elementary,Northeast,0K-08
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,06-12
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,09-13
Beaufort County Schools,070325,Chocowinity Middle,Northeast,05-08
Beaufort County Schools,070326,Chocowinity Primary,Northeast,PK-04
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,02-03
Beaufort County Schools,070328,John Small Elementary,Northeast,04-05
Beaufort County Schools,070329,Northeast Elementary,Northeast,PK-08
Beaufort County Schools,070330,Northside High,Northeast,09-12
Beaufort County Schools,070338,P S Jones Middle,Northeast,06-08
Beaufort County Schools,070339,Southside High,Northeast,09-12
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,PK-08
Beaufort County Schools,070342,Washington High,Northeast,09-12
Bertie County Schools,080311,Bertie Early College High,Northeast,09-13
Bertie County Schools,080312,Bertie High,Northeast,09-12
Bertie County Schools,080314,Bertie Middle,Northeast,06-08
Bertie County Schools,080348,Aulander Elementary,Northeast,PK-05
Bertie County Schools,080356,West Bertie Elementary,Northeast,PK-05
Bertie County Schools,080360,Colerain Elementary,Northeast,PK-05
Bertie County Schools,080362,Windsor Elementary,Northeast,PK-05
Bladen County Schools,090315,Bladenboro Middle,Sandhills,05-08
Bladen County Schools,090317,Bladenboro Primary,Sandhills,PK-04
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,PK-04
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,05-08
Bladen County Schools,090324,Dublin Primary,Sandhills,PK-04
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,0K-04
Bladen County Schools,090330,East Bladen High,Sandhills,09-12
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,05-08
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,PK-04
Bladen County Schools,090352,Plain View Primary,Sandhills,PK-04
Bladen County Schools,090365,Tar Heel Middle,Sandhills,05-08
Bladen County Schools,090368,West Bladen High,Sandhills,09-12
