Area Name,Year,Month,Adjusted,LaborForce,Employed,Unemployed,Unemployment Rate(%),Labor Force Participation Rate(%),Employment to Population Rate(%)
Alamance County,2017,00,Not Seasonally Adjusted,78810,75458,3352,4.3,,
Alamance County,2018,00,Not Seasonally Adjusted,79653,76607,3046,3.8,,
Alamance County,2019,00,Not Seasonally Adjusted,81616,78525,3091,3.8,,
Alamance County,2020,00,Not Seasonally Adjusted,78765,73185,5580,7.1,,
Alamance County,2021,00,Not Seasonally Adjusted,81023,77064,3959,4.9,,
Alamance County,2022,00,Not Seasonally Adjusted,83174,80087,3087,3.7,,
Alexander County,2017,00,Not Seasonally Adjusted,17718,17073,645,3.6,,
Alexander County,2018,00,Not Seasonally Adjusted,17677,17108,569,3.2,,
Alexander County,2019,00,Not Seasonally Adjusted,17790,17206,584,3.3,,
Alexander County,2020,00,Not Seasonally Adjusted,17091,15826,1265,7.4,,
Alexander County,2021,00,Not Seasonally Adjusted,17375,16630,745,4.3,,
Alexander County,2022,00,Not Seasonally Adjusted,18058,17481,577,3.2,,
Alleghany County,2017,00,Not Seasonally Adjusted,4301,4083,218,5.1,,
Alleghany County,2018,00,Not Seasonally Adjusted,4249,4055,194,4.6,,
Alleghany County,2019,00,Not Seasonally Adjusted,4346,4143,203,4.7,,
Alleghany County,2020,00,Not Seasonally Adjusted,4097,3802,295,7.2,,
Alleghany County,2021,00,Not Seasonally Adjusted,4226,4026,200,4.7,,
Alleghany County,2022,00,Not Seasonally Adjusted,4531,4356,175,3.9,,
Anson County,2017,00,Not Seasonally Adjusted,10377,9841,536,5.2,,
Anson County,2018,00,Not Seasonally Adjusted,10263,9800,463,4.5,,
Anson County,2019,00,Not Seasonally Adjusted,10613,10177,436,4.1,,
Anson County,2020,00,Not Seasonally Adjusted,10083,9323,760,7.5,,
Anson County,2021,00,Not Seasonally Adjusted,10083,9439,644,6.4,,
Anson County,2022,00,Not Seasonally Adjusted,10260,9813,447,4.4,,
Ashe County,2017,00,Not Seasonally Adjusted,12483,11970,513,4.1,,
Ashe County,2018,00,Not Seasonally Adjusted,12511,12055,456,3.6,,
Ashe County,2019,00,Not Seasonally Adjusted,12742,12278,464,3.6,,
Ashe County,2020,00,Not Seasonally Adjusted,12218,11465,753,6.2,,
Ashe County,2021,00,Not Seasonally Adjusted,12591,12078,513,4.1,,
Ashe County,2022,00,Not Seasonally Adjusted,12919,12482,437,3.4,,
Avery County,2017,00,Not Seasonally Adjusted,7530,7208,322,4.3,,
Avery County,2018,00,Not Seasonally Adjusted,7485,7208,277,3.7,,
Avery County,2019,00,Not Seasonally Adjusted,7451,7178,273,3.7,,
Avery County,2020,00,Not Seasonally Adjusted,7080,6640,440,6.2,,
Avery County,2021,00,Not Seasonally Adjusted,7348,7049,299,4.1,,
Avery County,2022,00,Not Seasonally Adjusted,7747,7495,252,3.3,,
Beaufort County,2017,00,Not Seasonally Adjusted,19708,18712,996,5.1,,
Beaufort County,2018,00,Not Seasonally Adjusted,19387,18485,902,4.7,,
Beaufort County,2019,00,Not Seasonally Adjusted,19361,18485,876,4.5,,
Beaufort County,2020,00,Not Seasonally Adjusted,18803,17630,1173,6.2,,
Beaufort County,2021,00,Not Seasonally Adjusted,19444,18485,959,4.9,,
Beaufort County,2022,00,Not Seasonally Adjusted,19905,19120,785,3.9,,
Bertie County,2017,00,Not Seasonally Adjusted,7966,7495,471,5.9,,
Bertie County,2018,00,Not Seasonally Adjusted,7720,7335,385,5.0,,
Bertie County,2019,00,Not Seasonally Adjusted,7733,7370,363,4.7,,
Bertie County,2020,00,Not Seasonally Adjusted,7363,6901,462,6.3,,
Bertie County,2021,00,Not Seasonally Adjusted,7155,6722,433,6.1,,
Bertie County,2022,00,Not Seasonally Adjusted,7162,6813,349,4.9,,
Bladen County,2017,00,Not Seasonally Adjusted,14219,13389,830,5.8,,
Bladen County,2018,00,Not Seasonally Adjusted,14164,13408,756,5.3,,
Bladen County,2019,00,Not Seasonally Adjusted,14422,13745,677,4.7,,
Bladen County,2020,00,Not Seasonally Adjusted,14030,13029,1001,7.1,,
Bladen County,2021,00,Not Seasonally Adjusted,14220,13385,835,5.9,,
Bladen County,2022,00,Not Seasonally Adjusted,14529,13899,630,4.3,,
Brunswick County,2017,00,Not Seasonally Adjusted,50612,47744,2868,5.7,,
Brunswick County,2018,00,Not Seasonally Adjusted,52390,49590,2800,5.3,,
Brunswick County,2019,00,Not Seasonally Adjusted,54088,51274,2814,5.2,,
Brunswick County,2020,00,Not Seasonally Adjusted,51687,47208,4479,8.7,,
Brunswick County,2021,00,Not Seasonally Adjusted,53997,50708,3289,6.1,,
Brunswick County,2022,00,Not Seasonally Adjusted,57304,54636,2668,4.7,,
Buncombe County,2017,00,Not Seasonally Adjusted,134657,130012,4645,3.4,,
Buncombe County,2018,00,Not Seasonally Adjusted,136934,132780,4154,3.0,,
Buncombe County,2019,00,Not Seasonally Adjusted,139343,135189,4154,3.0,,
Buncombe County,2020,00,Not Seasonally Adjusted,133240,122360,10880,8.2,,
Buncombe County,2021,00,Not Seasonally Adjusted,136559,130767,5792,4.2,,
Buncombe County,2022,00,Not Seasonally Adjusted,141963,137753,4210,3.0,,
Burke County,2017,00,Not Seasonally Adjusted,39923,38249,1674,4.2,,
Burke County,2018,00,Not Seasonally Adjusted,40231,38756,1475,3.7,,
Burke County,2019,00,Not Seasonally Adjusted,40375,38882,1493,3.7,,
Burke County,2020,00,Not Seasonally Adjusted,38527,35796,2731,7.1,,
Burke County,2021,00,Not Seasonally Adjusted,39477,37656,1821,4.6,,
Burke County,2022,00,Not Seasonally Adjusted,40970,39563,1407,3.4,,
Cabarrus County,2017,00,Not Seasonally Adjusted,103213,98929,4284,4.2,,
Cabarrus County,2018,00,Not Seasonally Adjusted,105489,101628,3861,3.7,,
Cabarrus County,2019,00,Not Seasonally Adjusted,108878,105001,3877,3.6,,
Cabarrus County,2020,00,Not Seasonally Adjusted,106953,99692,7261,6.8,,
Cabarrus County,2021,00,Not Seasonally Adjusted,110300,105406,4894,4.4,,
Cabarrus County,2022,00,Not Seasonally Adjusted,116057,112128,3929,3.4,,
Caldwell County,2017,00,Not Seasonally Adjusted,35997,34392,1605,4.5,,
Caldwell County,2018,00,Not Seasonally Adjusted,35852,34454,1398,3.9,,
Caldwell County,2019,00,Not Seasonally Adjusted,36034,34590,1444,4.0,,
Caldwell County,2020,00,Not Seasonally Adjusted,34525,31838,2687,7.8,,
Caldwell County,2021,00,Not Seasonally Adjusted,35257,33497,1760,5.0,,
Caldwell County,2022,00,Not Seasonally Adjusted,36492,35189,1303,3.6,,
Camden County,2017,00,Not Seasonally Adjusted,4660,4457,203,4.4,,
